Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000508822,0,0,0,0
0.000508922,1,0,1,0
0.000514702,0,0,0,0
0.000514802,0,1,0,0
0.000514804,0,1,0,1
0.000520582,0,0,0,1
0.000520584,0,0,0,0
0.000520682,1,0,1,0
0.000526462,0,0,0,0
0.000526564,0,1,0,1
0.000532342,0,0,0,1
0.000532344,0,0,0,0
0.000532442,1,0,1,0
0.000538222,0,0,0,0
0.000538324,0,1,0,1
0.000544104,0,0,0,0
0.000544202,0,0,1,0
0.000544204,1,0,1,0
0.000549982,1,0,0,0
0.000549984,0,0,0,0
0.000550084,0,1,0,1
0.000555864,0,0,0,0
0.000555962,0,0,1,0
0.000555964,1,0,1,0
0.000561742,1,0,0,0
0.000561744,0,0,0,0
0.000561844,0,1,0,1
0.000567624,0,0,0,0
0.000567722,0,0,1,0
0.000567724,1,0,1,0
0.000573502,1,0,0,0
0.000573504,0,0,0,0
0.000573604,0,1,0,1
0.000579384,0,0,0,0
0.000579484,1,0,1,0
0.000585262,1,0,0,0
0.000585264,0,0,0,0
0.000585364,0,1,0,1
0.000591144,0,0,0,0
0.000591244,1,0,1,0
0.000597024,0,0,0,0
0.000597126,0,1,0,1
0.000602904,0,0,0,1
0.000602906,0,0,0,0
0.000603004,1,0,1,0
0.000608784,0,0,0,0
0.000608886,0,1,0,1
0.000614664,0,0,0,1
0.000614666,0,0,0,0
0.000614764,0,0,1,0
0.000614766,1,0,1,0
0.000620544,0,0,0,0
0.000620646,0,1,0,1
0.000626426,0,0,0,0
0.000626524,0,0,1,0
0.000626526,1,0,1,0
0.000632304,1,0,0,0
0.000632306,0,0,0,0
0.000632406,0,1,0,1
0.000638186,0,0,0,0
0.000638284,0,0,1,0
0.000638286,1,0,1,0
0.000644064,1,0,0,0
0.000644066,0,0,0,0
0.000644166,0,1,0,1
0.000649946,0,0,0,0
0.000650046,1,0,1,0
0.000655824,1,0,0,0
0.000655826,0,0,0,0
0.000655926,0,1,0,1
0.000661706,0,0,0,0
0.000661806,1,0,1,0
0.000667586,0,0,0,0
0.000667686,0,1,0,0
0.000667688,0,1,0,1
0.000673466,0,0,0,1
0.000673468,0,0,0,0
0.000673566,1,0,1,0
0.000679346,0,0,0,0
0.000679448,0,1,0,1
0.000685226,0,0,0,1
0.000685228,0,0,0,0
0.000685326,1,0,1,0
0.000691106,0,0,0,0
0.000691208,0,1,0,1
0.000696986,0,0,0,1
0.000696988,0,0,0,0
0.000697086,1,0,1,0
0.000702866,0,0,0,0
0.000702968,0,1,0,1
0.000708748,0,0,0,0
0.000708846,0,0,1,0
0.000708848,1,0,1,0
0.000714626,0,0,0,0
0.000714728,0,1,0,1
0.000720506,0,0,0,1
0.000720508,0,0,0,0
0.000720606,0,0,1,0
0.000720608,1,0,1,0
0.000726386,1,0,0,0
0.000726388,0,0,0,0
0.000726488,0,1,0,1
0.000732268,0,0,0,0
0.000732368,1,0,1,0
0.000738148,0,0,0,0
0.000738248,0,1,0,0
0.000738250,0,1,0,1
0.000744028,0,0,0,0
0.000744128,1,0,1,0
0.000749908,0,0,0,0
0.000750008,0,1,0,0
