Time [s],Channel 0,Channel 1
0.000000000,0,1
0.000002478,0,0
0.000002728,1,0
0.000008358,0,0
0.000008608,0,1
0.000014238,0,0
0.000014488,1,0
0.000020118,0,0
0.000020368,0,1
0.000025998,0,0
0.000026248,1,0
0.000031878,0,0
0.000032128,0,1
0.000037758,0,0
0.000038008,1,0
0.000043638,0,0
0.000043890,0,1
0.000049518,0,0
0.000049768,1,0
0.000055398,0,0
0.000055650,0,1
0.000061278,0,0
0.000061528,1,0
0.000067158,0,0
0.000067410,0,1
0.000073038,0,0
0.000073290,1,0
0.000078920,0,0
0.000079170,0,1
0.000084800,0,0
0.000085050,1,0
0.000090680,0,0
0.000090930,0,1
0.000096560,0,0
0.000096810,1,0
0.000102440,0,0
0.000102690,0,1
0.000108320,0,0
0.000108570,1,0
0.000114200,0,0
0.000114450,0,1
0.000120080,0,0
0.000120330,1,0
0.000125960,0,0
0.000126210,0,1
0.000131840,0,0
0.000132090,1,0
0.000137720,0,0
0.000137972,0,1
0.000143600,0,0
0.000143850,1,0
0.000149480,0,0
0.000149732,0,1
0.000155360,0,0
0.000155612,1,0
0.000161240,0,0
0.000161492,0,1
0.000167122,0,0
0.000167372,1,0
0.000173002,0,0
0.000173252,0,1
0.000178882,0,0
0.000179132,1,0
0.000184762,0,0
0.000185012,0,1
0.000190642,0,0
0.000190892,1,0
0.000196522,0,0
0.000196772,0,1
0.000202402,0,0
0.000202652,1,0
0.000208282,0,0
0.000208532,0,1
0.000214162,0,0
0.000214412,1,0
0.000220042,0,0
0.000220294,0,1
0.000225922,0,0
0.000226174,1,0
0.000231802,0,0
0.000232054,0,1
0.000237684,0,0
0.000237934,1,0
0.000243564,0,0
0.000243814,0,1
0.000249444,0,0
0.000249694,1,0
0.000255324,0,0
0.000255574,0,1
0.000261204,0,0
0.000261454,1,0
0.000267084,0,0
0.000267334,0,1
0.000272964,0,0
0.000273214,1,0
0.000278844,0,0
0.000279094,0,1
0.000284724,0,0
0.000284974,1,0
0.000290604,0,0
0.000290854,0,1
0.000296484,0,0
0.000296734,1,0
0.000302364,0,0
0.000302616,0,1
0.000308244,0,0
0.000308494,1,0
0.000314124,0,0
0.000314376,0,1
0.000320004,0,0
0.000320254,1,0
0.000325884,0,0
0.000326136,0,1
0.000331766,0,0
0.000332016,1,0
0.000337646,0,0
0.000337896,0,1
0.000343526,0,0
0.000343776,1,0
0.000349406,0,0
0.000349656,0,1
0.000355286,0,0
0.000355536,1,0
0.000361166,0,0
0.000361416,0,1
0.000367046,0,0
0.000367296,1,0
0.000372926,0,0
0.000373176,0,1
0.000378806,0,0
0.000379056,1,0
0.000384686,0,0
0.000384936,0,1
0.000390566,0,0
0.000390818,1,0
0.000396446,0,0
0.000396698,0,1
0.000402326,0,0
0.000402578,1,0
0.000408206,0,0
0.000408458,0,1
0.000414088,0,0
0.000414338,1,0
0.000419968,0,0
0.000420218,0,1
0.000425848,0,0
0.000426098,1,0
0.000431728,0,0
0.000431978,0,1
0.000437608,0,0
0.000437858,1,0
0.000443488,0,0
0.000443738,0,1
0.000449368,0,0
0.000449618,1,0
0.000455248,0,0
0.000455500,0,1
0.000461128,0,0
0.000461378,1,0
0.000467008,0,0
0.000467260,0,1
0.000472888,0,0
0.000473138,1,0
0.000478768,0,0
0.000479020,0,1
0.000484650,0,0
0.000484900,1,0
0.000490530,0,0
0.000490780,0,1
0.000496410,0,0
0.000496660,1,0
0.000502290,0,0
0.000502540,0,1
0.000508170,0,0
0.000508420,1,0
0.000514050,0,0
0.000514300,0,1
0.000519930,0,0
0.000520180,1,0
0.000525810,0,0
0.000526060,0,1
0.000531690,0,0
0.000531940,1,0
0.000537570,0,0
0.000537822,0,1
0.000543450,0,0
0.000543702,1,0
0.000549330,0,0
0.000549582,0,1
0.000555210,0,0
0.000555462,1,0
0.000561092,0,0
0.000561342,0,1
0.000566972,0,0
0.000567222,1,0
0.000572852,0,0
0.000573102,0,1
0.000578732,0,0
0.000578982,1,0
0.000584612,0,0
0.000584862,0,1
0.000590492,0,0
0.000590742,1,0
0.000596372,0,0
0.000596622,0,1
0.000602252,0,0
0.000602502,1,0
0.000608132,0,0
0.000608382,0,1
0.000614012,0,0
0.000614262,1,0
0.000619892,0,0
0.000620142,0,1
0.000625772,0,0
0.000626022,1,0
0.000631652,0,0
0.000631904,0,1
0.000637534,0,0
0.000637784,1,0
0.000643414,0,0
0.000643664,0,1
0.000649294,0,0
0.000649544,1,0
0.000655174,0,0
0.000655424,0,1
0.000661054,0,0
0.000661304,1,0
0.000666934,0,0
0.000667184,0,1
0.000672814,0,0
0.000673064,1,0
0.000678694,0,0
0.000678944,0,1
0.000684574,0,0
0.000684824,1,0
0.000690454,0,0
0.000690704,0,1
0.000696334,0,0
0.000696584,1,0
0.000702214,0,0
0.000702466,0,1
0.000708094,0,0
0.000708344,1,0
0.000713974,0,0
0.000714226,0,1
0.000719854,0,0
0.000720104,1,0
0.000725734,0,0
0.000725986,0,1
0.000731616,0,0
0.000731866,1,0
0.000737496,0,0
0.000737746,0,1
0.000743376,0,0
0.000743626,1,0
0.000749256,0,0
0.000749506,0,1
0.000755136,0,0
0.000755386,1,0
0.000761016,0,0
0.000761266,0,1
0.000766896,0,0
0.000767146,1,0
0.000772776,0,0
0.000773028,0,1
0.000778656,0,0
0.000778906,1,0
0.000784536,0,0
0.000784788,0,1
0.000790416,0,0
0.000790666,1,0
0.000796296,0,0
0.000796548,0,1
0.000802176,0,0
0.000802428,1,0
0.000808056,0,0
0.000808308,0,1
0.000813938,0,0
0.000814188,1,0
0.000819818,0,0
0.000820068,0,1
0.000825698,0,0
0.000825948,1,0
0.000831578,0,0
0.000831828,0,1
0.000837458,0,0
0.000837708,1,0
0.000843338,0,0
0.000843588,0,1
0.000849218,0,0
0.000849468,1,0
0.000855098,0,0
0.000855348,0,1
0.000860978,0,0
0.000861228,1,0
0.000866858,0,0
0.000867110,0,1
0.000872738,0,0
0.000872990,1,0
0.000878618,0,0
0.000878870,0,1
0.000884498,0,0
0.000884750,1,0
0.000890378,0,0
0.000890630,0,1
0.000896260,0,0
0.000896510,1,0
0.000902140,0,0
0.000902390,0,1
0.000908020,0,0
0.000908270,1,0
0.000913900,0,0
0.000914150,0,1
0.000919780,0,0
0.000920030,1,0
0.000925660,0,0
0.000925910,0,1
0.000931540,0,0
0.000931790,1,0
0.000937420,0,0
0.000937672,0,1
0.000943300,0,0
0.000943550,1,0
0.000949180,0,0
0.000949432,0,1
0.000955060,0,0
0.000955310,1,0
0.000960940,0,0
0.000961192,0,1
0.000966822,0,0
0.000967072,1,0
0.000972702,0,0
0.000972952,0,1
0.000978582,0,0
0.000978832,1,0
0.000984462,0,0
0.000984712,0,1
0.000990342,0,0
0.000990592,1,0
0.000996222,0,0
0.000996472,0,1
0.001002102,0,0
0.001002352,1,0
0.001007982,0,0
0.001008234,0,1
0.001013862,0,0
0.001014112,1,0
0.001019742,0,0
0.001019994,0,1
0.001025622,0,0
0.001025872,1,0
0.001031502,0,0
0.001031754,0,1
0.001037384,0,0
0.001037634,1,0
0.001043264,0,0
0.001043514,0,1
0.001049144,0,0
0.001049394,1,0
0.001055024,0,0
0.001055274,0,1
0.001060904,0,0
0.001061154,1,0
0.001066784,0,0
0.001067034,0,1
0.001072664,0,0
0.001072914,1,0
0.001078544,0,0
0.001078794,0,1
0.001084424,0,0
0.001084674,1,0
0.001090304,0,0
0.001090554,0,1
0.001096184,0,0
0.001096434,1,0
0.001102064,0,0
0.001102316,0,1
0.001107944,0,0
0.001108194,1,0
0.001113824,0,0
0.001114076,0,1
0.001119704,0,0
0.001119956,1,0
0.001125584,0,0
0.001125836,0,1
0.001131466,0,0
0.001131716,1,0
0.001137346,0,0
0.001137596,0,1
0.001143226,0,0
0.001143476,1,0
0.001149106,0,0
0.001149356,0,1
0.001154986,0,0
0.001155236,1,0
0.001160866,0,0
0.001161116,0,1
0.001166746,0,0
0.001166996,1,0
0.001172626,0,0
0.001172878,0,1
0.001178506,0,0
0.001178756,1,0
0.001184386,0,0
0.001184636,0,1
0.001190266,0,0
0.001190516,1,0
0.001196146,0,0
0.001196398,0,1
0.001202028,0,0
0.001202278,1,0
0.001207908,0,0
0.001208158,0,1
0.001213788,0,0
0.001214038,1,0
0.001219668,0,0
0.001219918,0,1
0.001225548,0,0
0.001225798,1,0
0.001231428,0,0
0.001231678,0,1
0.001237308,0,0
0.001237558,1,0
0.001243188,0,0
0.001243438,0,1
0.001249068,0,0
0.001249318,1,0
0.001254948,0,0
0.001255198,0,1
0.001260828,0,0
0.001261078,1,0
0.001266708,0,0
0.001266960,0,1
0.001272588,0,0
0.001272838,1,0
0.001278468,0,0
0.001278720,0,1
0.001284350,0,0
0.001284600,1,0
0.001290230,0,0
0.001290480,0,1
0.001296110,0,0
0.001296360,1,0
0.001301990,0,0
0.001302240,0,1
0.001307870,0,0
0.001308120,1,0
0.001313750,0,0
0.001314000,0,1
0.001319630,0,0
0.001319880,1,0
0.001325510,0,0
0.001325760,0,1
0.001331390,0,0
0.001331640,1,0
0.001337270,0,0
0.001337520,0,1
0.001343150,0,0
0.001343400,1,0
0.001349030,0,0
0.001349282,0,1
0.001354910,0,0
0.001355160,1,0
0.001360790,0,0
0.001361042,0,1
0.001366672,0,0
0.001366922,1,0
0.001372552,0,0
0.001372802,0,1
0.001378432,0,0
0.001378682,1,0
0.001384312,0,0
0.001384562,0,1
0.001390192,0,0
0.001390442,1,0
0.001396072,0,0
0.001396322,0,1
0.001401952,0,0
0.001402202,1,0
0.001407832,0,0
0.001408082,0,1
0.001413712,0,0
0.001413962,1,0
0.001419592,0,0
0.001419842,0,1
0.001425472,0,0
0.001425722,1,0
0.001431352,0,0
0.001431604,0,1
0.001437232,0,0
0.001437484,1,0
0.001443112,0,0
0.001443364,0,1
0.001448994,0,0
0.001449244,1,0
0.001454874,0,0
0.001455124,0,1
0.001460754,0,0
0.001461004,1,0
0.001466634,0,0
0.001466884,0,1
0.001472514,0,0
0.001472764,1,0
0.001478394,0,0
0.001478644,0,1
0.001484274,0,0
0.001484524,1,0
0.001490154,0,0
0.001490406,0,1
0.001496034,0,0
0.001496284,1,0
0.001501914,0,0
0.001502166,0,1
0.001507794,0,0
0.001508044,1,0
0.001513674,0,0
0.001513926,0,1
0.001519556,0,0
0.001519806,1,0
0.001525436,0,0
0.001525686,0,1
0.001531316,0,0
0.001531566,1,0
0.001537196,0,0
0.001537446,0,1
0.001543076,0,0
0.001543326,1,0
0.001548956,0,0
0.001549206,0,1
0.001554836,0,0
0.001555086,1,0
0.001560716,0,0
0.001560966,0,1
0.001566596,0,0
0.001566846,1,0
0.001572476,0,0
